"response_id","training_index","training_name","training_audience__selected_choice_undergraduate_students","training_audience__selected_choice_taught_masters_students","training_audience__selected_choice_ph_d_students","training_audience__selected_choice_research_staff","training_audience__selected_choice_technical_staff","training_audience__selected_choice_others_outside_of_he","training_audience__selected_choice_other","training_audience__other_text","training_type_part_of_a_degree_s_curricula_core","training_type_part_of_a_dregree_s_curricula_optional","training_type_formal_training_e_g_course_or_workshop_must_be_taken_before_access_hpc_services","training_type_informal_training_e_g_course_or_workshop_can_be_taken_by_anyone_wanting_to_learn_about_hpc_services","training_certificate","training_delivery","training_format_mode__workshop","training_format_mode__lecture","training_format_mode__lab","training_format_mode__q_a","training_format_mode__other","training_format_mode__other_text","training_role_educator_lead_i_e_teaching_classes_or_workshops","training_role_educator_support_i_e_providing_support_to_students_during_a_class_or_course","training_role_technical_support_i_e_providing_support_through_office_hours_troubleshooting","training_role_back_office_support_i_e_managing_infrastructure","training_role_developing_resources_i_e_writing_software_technical_documentation","training_tasks__preparing_teaching_materials","training_tasks__choosing_the_right_infrastructure_or_technological_stack","training_tasks__setting_up_the_infrastructure_or_technological_stack","training_tasks__assessing_marking_student_s_assignments_exercises","training_tasks__replying_students_questions","training_tasks__defining_the_learning_outcomes","training_technology_importance__using_the_newest_technology_available","training_technology_importance__using_what_that_industry_demands","training_technology_importance__having_a_licence_provided_by_my_employer","training_technology_importance__using_a_technology_that_is_reasonably_priced","training_technology_importance__using_a_technology_that_is_free_libre_open_source","training_technology_importance__using_a_technology_that_is_aligned_with_the_course_s_content","training_technology_importance__using_a_technology_that_enables_me_to_deliver_the_teaching_as_i_think_is_best","training_technology_importance__using_a_technology_that_students_can_replicate","training_technology_importance__using_a_technology_that_does_not_require_set_up","training_technology_importance__using_a_technology_that_doesn_t_have_platform_lock_in","training_drc_taught__selected_choice_a_technology_programming_language_or_software","training_drc_taught__selected_choice_a_platform_or_service_azure_chat_gtp_aws","training_drc_taught__selected_choice_a_workflow_to_do_certain_tasks","training_drc_taught__selected_choice_a_concept","training_drc_taught__selected_choice_a_technique_or_method","training_drc_taught__selected_choice_a_hardware_device","training_drc_taught__selected_choice_other","training_drc_taught__other_text","training_technology_name","training_direct_framework_mapping_data_science_application_of_analytical_statistical_or_machine_learning_techniques_to_extract_insight_and_value_from_complex_or_large_datasets_big_data","training_direct_framework_mapping_data_management_understanding_and_implementation_of_practices_for_data_management_quality_accessibility_stewardship_and_compliance_across_data_lifecycle","training_direct_framework_mapping_web_mobile_development_design_and_development_of_responsive_secure_and_user_centric_applications_across_web_and_mobile_platforms","training_direct_framework_mapping_software_engineering_methodologies_tools_application_of_structured_approaches_theory_and_supporting_tools_to_plan_develop_test_and_maintain_high_quality_software_systems_efficiently","training_direct_framework_mapping_software_computer_science_concepts_theory_foundational_knowledge_of_computational_principles_and_algorithms_that_inform_software_design_development_and_performance","training_direct_framework_mapping_user_interface_user_experience_ui_ux_design_creating_intuitive_inclusive_and_engaging_digital_experiences_through_thoughtful_design_and_user_centered_practices","training_direct_framework_mapping_hpc_infrastructure_knowledge_of_high_performance_computing_systems_and_practices_that_support_intensive_computational_research_and_large_scale_simulations","training_direct_framework_mapping_web_infrastructure_design_deployment_and_maintenance_of_the_technologies_that_support_robust_scalable_and_secure_online_platforms_and_services","training_direct_framework_mapping_cloud_infrastructure_expertise_in_leveraging_cloud_platforms_to_enable_flexible_scalable_and_cost_effective_computing_storage_and_data_services","training_direct_framework_mapping_general_systems_infrastructure_broad_understanding_of_digital_infrastructure_including_hardware_networks_and_system_integration_that_supports_everyday_operations_and_research","training_direct_framework_mapping_personal_skills_self_management_capabilities_such_as_initiative_adaptability_resilience_time_management_and_a_commitment_to_continuous_learning","training_direct_framework_mapping_interprersonal_skills_ability_to_build_rapport_demonstrate_empathy_navigate_social_dynamics_and_communicate_effectively_in_diverse_professional_settings","training_direct_framework_mapping_teamwork_and_collaboration_working_constructively_and_inclusively_with_others_to_achieve_shared_goals_contribute_to_group_problem_solving_and_foster_a_positive_team_culture","training_direct_framework_mapping_people_team_management_guiding_and_supporting_individuals_and_teams_to_achieve_their_potential_with_attention_to_wellbeing_performance_and_professional_growth","training_direct_framework_mapping_project_management_planning_coordinating_and_delivering_projects_effectively_within_defined_scope_time_and_resource_constraints_while_managing_risk_and_quality","training_direct_framework_mapping_domain_knowledge_deep_understanding_of_the_concepts_challenges_and_methodologies_specific_to_a_particular_scientific_field","training_direct_framework_mapping_research_skills_conducting_rigorous_inquiry_including_problem_formulation_experimental_design_critical_analysis_and_dissemination_of_findings","training_direct_framework_mapping_verbal_written_communication_articulating_complex_ideas_clearly_and_effectively_through_a_range_of_formats_and_for_varied_audiences","training_direct_framework_mapping_community_outreach_engaging_with_wider_communities_through_knowledge_sharing_collaboration_and_public_engagement_to_increase_the_visibility_and_impact_of_work","training_direct_framework_mapping_training_designing_and_delivering_effective_learning_experiences_that_build_skills_transfer_knowledge_and_support_capacity_and_capability_development_across_audiences","training_days","training_hours","training_homework","training_assessment","training_requirements_using_a_local_environment_student_s_machines","training_requirements_using_a_local_environment_university_equipment","training_requirements_using_a_cloud_environment","training_requirements_using_on_premises_hpc","training_requirements_accessing_an_hpc_remotely","training_requirements_subscription_licence_to_a_service_or_software","training_ai_teacher_no_gen_ai_was_not_available_when_i_prepared_this_training","training_ai_teacher_no_i_do_not_want_to_use_gen_ai","training_ai_teacher_yes_to_design_the_course","training_ai_teacher_yes_for_other_uses","training_ai_teacher_more","training_ai_teacher_refusal__selected_choice_because_there_s_no_gen_ai_good_enough_for_this","training_ai_teacher_refusal__selected_choice_because_i_m_concerned_about_its_reliability","training_ai_teacher_refusal__selected_choice_because_i_m_concerned_about_sustainability","training_ai_teacher_refusal__selected_choice_because_i_m_concerned_about_extractivism","training_ai_teacher_refusal__selected_choice_because_i_m_concerned_about_academic_integrity","training_ai_teacher_refusal__selected_choice_other","training_ai_teacher_refusal__other_text","training_ai_students","training_ai_students_refusal_because_that_would_prevent_them_from_learning","training_ai_students_refusal_because_i_m_concerned_about_its_reliability","training_ai_students_refusal_because_i_m_concerned_about_sustainability","training_ai_students_refusal_because_i_m_concerned_about_extractivism","training_ai_students_refusal_because_i_m_concerned_about_academic_integrity","more_training","training_ai_students_refusal_because_there_s_no_gen_ai_good_enough_for_this"
"R_8XZcqSU3NChnqEx","1","R for AMR",NA,NA,NA,NA,NA,"Others outside of HE",NA,NA,NA,NA,"Formal training (e.g. course or workshop must be taken before access HPC services)",NA,"No","In person","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,"Developing resources (i.e. writing software, technical documentation...)","79","21","20",NA,"52","86","Not at all important","Not at all important","Not at all important","Not at all important","Not at all important","Extremely important","Very important","Extremely important","Slightly important","Slightly important","a technology, programming language or software",NA,"a workflow to do certain tasks","a concept",NA,NA,NA,NA,"R, SQL, git/git hub","Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)",NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently","Software/computer science concepts & theory: Foundational knowledge of computational principles and algorithms that inform software design, development and performance",NA,NA,NA,NA,NA,"Personal skills: Self-management capabilities such as initiative, adaptability, resilience, time management, and a commitment to continuous learning.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","30","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Students were asked not to use AI","Because that would prevent them from learning",NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_24vmQF0lDzg3eY9","1","Carpentries Programming with Python (novice inflammation version)",NA,NA,"PhD students","Research staff","Technical staff",NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","Not available","Not available","I was involved","Not available",NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)","Technical support (i.e. providing support through office hours, troubleshooting...)","Back office support (i.e. managing infrastructure)","Developing resources (i.e. writing software, technical documentation...)","11","30","11",NA,"60","0","Slightly important","Not at all important","Not at all important","Extremely important","Not at all important","Extremely important","Extremely important","Extremely important","Moderately important","Extremely important","a technology, programming language or software",NA,NA,"a concept",NA,NA,NA,NA,"Python","Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)",NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","No","No","Using a local environment (student's machines)",NA,"Using a cloud environment",NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Students were expected to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_262UChAQQsAUovI","1","Software Carpentry - Plotting and Programming in Python",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","Not available","Not available","Not available","Not available",NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,NA,"0","0","10","0","20","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,NA,NA,NA,NA,NA,NA,"Python",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently","Software/computer science concepts & theory: Foundational knowledge of computational principles and algorithms that inform software design, development and performance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6","No","No","Using a local environment (student's machines)","Using a local environment (university equipment)",NA,NA,NA,NA,"No, genAI was not available when I prepared this training","No, I do not want to use genAI",NA,NA,NA,NA,"Because I'm concerned about its reliability",NA,"Because I'm concerned about extractivism","Because I'm concerned about academic integrity",NA,NA,"Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_8ducmeqznNaMMHJ","1","Carpentries workshops",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","Not available","Not available","Not available","Not available",NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)",NA,NA,"Developing resources (i.e. writing software, technical documentation...)","50","7","10",NA,"18","9","Not at all important","Slightly important","Slightly important","Extremely important","Extremely important","Very important","Very important","Very important","Slightly important","Extremely important","a technology, programming language or software",NA,NA,"a concept",NA,NA,NA,NA,"bash, git, gitlab",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","8","No","No","Using a local environment (student's machines)","Using a local environment (university equipment)",NA,NA,"Accessing an HPC remotely",NA,NA,"No, I do not want to use genAI",NA,NA,NA,NA,"Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity",NA,NA,"Students were asked not to use AI","Because that would prevent them from learning",NA,"Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Yes, let me answer again for another section.",NA
"R_8ducmeqznNaMMHJ","2","introduction to local HPC cluster",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","Online","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,"Developing resources (i.e. writing software, technical documentation...)","18",NA,NA,NA,"25","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,"a workflow to do certain tasks",NA,NA,NA,NA,NA,"bash, slurm",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,"HPC infrastructure: Knowledge of high-performance computing systems and practices that support intensive computational research and large-scale simulations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","No","No","Using a local environment (student's machines)",NA,NA,"Using on premises HPC",NA,NA,NA,"No, I do not want to use genAI",NA,NA,NA,NA,"Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity",NA,NA,"Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_2PhwhEHiEKbj2Ff","1","Institutional Research Software Skills course",NA,"taught masters students","PhD students",NA,NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","I was involved","I was involved",NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,"Developing resources (i.e. writing software, technical documentation...)","73","10","20",NA,"40",NA,"Very important","Very important","Not at all important","Not at all important","Extremely important","Extremely important","Very important","Very important","Moderately important","Extremely important","a technology, programming language or software",NA,NA,"a concept",NA,NA,NA,NA,"Python as applied to ""how to write reusable software""","Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)",NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,"Teamwork and collaboration: Working constructively and inclusively with others to achieve shared goals, contribute to group problem-solving, and foster a positive team culture",NA,NA,NA,"Research skills: Conducting rigorous inquiry, including problem formulation, experimental design, critical analysis, and dissemination of findings",NA,NA,NA,"5","40","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This training was before AI's emergence",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_8r2OIrUSmroAkq7","1","Version control with Git",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","Not available","Not available","I was involved","Not available",NA,NA,"Educator (support) (i.e. providing support to students during a class or course)",NA,NA,NA,"14","8","11","8","39","13","Slightly important","Slightly important","Moderately important","Very important","Moderately important","Very important","Very important","Moderately important","Moderately important","Moderately important","a technology, programming language or software","a platform or service (Azure, ChatGTP, AWS, ...)",NA,"a concept","a technique or method",NA,NA,NA,"Github",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","10","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This training was before AI's emergence",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_2WOnJrILg9Ro83v","1","Software Carpentry",NA,NA,"PhD students","Research staff",NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved",NA,NA,NA,NA,NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)","Technical support (i.e. providing support through office hours, troubleshooting...)","Back office support (i.e. managing infrastructure)",NA,"8",NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,NA,"a concept","a technique or method",NA,NA,NA,NA,NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","14","No","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This training was before AI's emergence",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_2LhHXNSNTuFas7w","1","IoC Introduction to Software Engineering ",NA,NA,NA,NA,NA,"Others outside of HE",NA,NA,"Part of a degree's curricula: core",NA,NA,NA,"Yes","In person","Not available","I was involved","Not available","Not available","Not available",NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,NA,NA,"77",NA,NA,"32","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,NA,"a concept",NA,NA,NA,NA,"Java ",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,"Teamwork and collaboration: Working constructively and inclusively with others to achieve shared goals, contribute to group problem-solving, and foster a positive team culture",NA,"Project management: Planning, coordinating, and delivering projects effectively within defined scope, time, and resource constraints, while managing risk and quality","Domain knowledge: Deep understanding of the concepts, challenges, and methodologies specific to a particular scientific field",NA," Verbal & written communication: Articulating complex ideas clearly and effectively through a range of formats and for varied audiences",NA,NA,"12","48","Yes","Yes","Using a local environment (student's machines)","Using a local environment (university equipment)",NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This training was before AI's emergence",NA,NA,NA,NA,NA,"Yes, let me answer again for another section.",NA
"R_2LhHXNSNTuFas7w","2","Software Carpentries","Undergraduate students","taught masters students","PhD students","Research staff","Technical staff",NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","In person","I was involved","I was involved","I was involved","I was involved","Not available",NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)","Technical support (i.e. providing support through office hours, troubleshooting...)","Back office support (i.e. managing infrastructure)","Developing resources (i.e. writing software, technical documentation...)","26","36","59",NA,"52",NA,"Very important","Not at all important","Not at all important","Not at all important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","a technology, programming language or software",NA,"a workflow to do certain tasks","a concept","a technique or method",NA,NA,NA,"Python, Shell, HPC","Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)",NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently","Software/computer science concepts & theory: Foundational knowledge of computational principles and algorithms that inform software design, development and performance",NA,"HPC infrastructure: Knowledge of high-performance computing systems and practices that support intensive computational research and large-scale simulations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","200","No","No","Using a local environment (student's machines)","Using a local environment (university equipment)","Using a cloud environment","Using on premises HPC",NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
"R_2YyLQEZhIw9Xs41","1","MINDS CDT Impact Training",NA,NA,"PhD students",NA,NA,NA,NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","Online","I was involved","I was involved","I was involved","I was involved",NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,NA,"Back office support (i.e. managing infrastructure)","Developing resources (i.e. writing software, technical documentation...)","70","15","5",NA,NA,"10","Moderately important","Very important","Not at all important","Not at all important","Very important","Extremely important","Moderately important","Extremely important","Slightly important","Very important","a technology, programming language or software","a platform or service (Azure, ChatGTP, AWS, ...)","a workflow to do certain tasks","a concept","a technique or method","a hardware/device",NA,NA,NA,NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,"HPC infrastructure: Knowledge of high-performance computing systems and practices that support intensive computational research and large-scale simulations",NA,NA,NA,NA,NA,"Teamwork and collaboration: Working constructively and inclusively with others to achieve shared goals, contribute to group problem-solving, and foster a positive team culture",NA,"Project management: Planning, coordinating, and delivering projects effectively within defined scope, time, and resource constraints, while managing risk and quality",NA,NA,NA,NA,NA,"13","20","No","No","Using a local environment (student's machines)",NA,NA,NA,"Accessing an HPC remotely",NA,NA,"No, I do not want to use genAI",NA,NA,NA,NA,"Because I'm concerned about its reliability","Because I'm concerned about sustainability","Because I'm concerned about extractivism","Because I'm concerned about academic integrity","Other","It wasn't appropriate for preparing this material","Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,"Yes, let me answer again for another section.",NA
"R_2YyLQEZhIw9Xs41","2","Introduction to Scientific Computing with Python",NA,NA,NA,NA,NA,"Others outside of HE",NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","Yes","Online","I was involved","I was involved",NA,"I was involved",NA,NA,"Educator (lead) (i.e. teaching classes or workshops)",NA,"Technical support (i.e. providing support through office hours, troubleshooting...)","Back office support (i.e. managing infrastructure)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a technology, programming language or software",NA,NA,NA,NA,NA,NA,NA,"Python, NumPy and Pandas",NA,NA,NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","20","Yes","No","Using a local environment (student's machines)",NA,NA,NA,NA,NA,"No, genAI was not available when I prepared this training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Students were neither encouraged or discouraged to use AI",NA,NA,NA,NA,NA,NA,NA
"R_28Ifj04tjJR7hGc","1","Hpc for ai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_8qltrYCciztELT2","1","Software Carpentries-style training",NA,NA,"PhD students","Research staff","Technical staff","Others outside of HE",NA,NA,NA,NA,NA,"Informal training (e.g. course or workshop can be taken by anyone wanting to learn about HPC services)","No","Hybrid","I was involved","I was involved","I was involved","Not available",NA,NA,"Educator (lead) (i.e. teaching classes or workshops)","Educator (support) (i.e. providing support to students during a class or course)",NA,"Back office support (i.e. managing infrastructure)","Developing resources (i.e. writing software, technical documentation...)","30","13","21",NA,NA,"21","Slightly important","Slightly important","Not at all important","Not at all important","Extremely important","Very important","Very important","Moderately important","Moderately important","Extremely important","a technology, programming language or software",NA,"a workflow to do certain tasks","a concept",NA,NA,NA,NA,"Python (pandas, matplotlib, scikit-learn, keras, etc.), R (tidyverse, ggplot2, etc.)","Data Science: Application of analytical, statistical or machine learning techniques to extract insight and value from complex or large datasets (big data)","Data Management: Understanding and implementation of practices for data management, quality, accessibility, stewardship and compliance across data lifecycle",NA,"Software engineering methodologies & tools: Application of structured approaches, theory and supporting tools to plan, develop, test, and maintain high-quality software systems efficiently",NA,NA,"HPC infrastructure: Knowledge of high-performance computing systems and practices that support intensive computational research and large-scale simulations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5","3","No","No","Using a local environment (student's machines)",NA,"Using a cloud environment","Using on premises HPC",NA,NA,NA,NA,NA,"Yes, for other uses","For creation of some exercises",NA,NA,NA,NA,NA,NA,NA,"Students were asked not to use AI","Because that would prevent them from learning",NA,NA,NA,NA,"No. Take me to the next page of the survey (there are just 2 pages left!)",NA
